Observation,Region,Quarter,Year,Team_name,Elo
15,LCS,Spring,2016,NRG Esports,2740.0
15,LCS,Spring,2016,Flyquest,
15,LCS,Spring,2016,EnVyUs,
15,LCS,Spring,2016,Team Liquid,2642.1621375799177
15,LCS,Spring,2016,Cloud9,2680.0
15,LCS,Spring,2016,100 Thieves,
15,LCS,Spring,2016,Counter Logic Gaming,2715.5453970695908
15,LCS,Spring,2016,Team Impulse,2684.584930700983
15,LCS,Spring,2016,FlyQuest,
15,LCS,Spring,2016,Phoenix1,
16,LCS,Spring,2016,EnVyUs,
16,LCS,Spring,2016,Cloud9,2680.0
16,LCS,Spring,2016,Counter Logic Gaming,2715.5453970695908
16,LCS,Spring,2016,Team Liquid,2642.1621375799177
16,LCS,Spring,2016,FlyQuest,
16,LCS,Spring,2016,OpTic Gaming,
16,LCS,Spring,2016,Phoenix1,
16,LCS,Spring,2016,Dignitas,2699.868129896114
16,LCS,Spring,2016,Apex,
16,LCS,Spring,2016,Clutch Gaming,
16,LCS,Spring,2016,NRG Esports,2720.8942683059186
16,LCS,Spring,2016,Flyquest,
16,LCS,Spring,2016,Immortals,2774.651128763672
16,LCS,Spring,2016,Team SoloMid,2704.4545100358177
16,LCS,Spring,2016,Golden Guardians,
16,LCS,Spring,2016,100 Thieves,
16,LCS,Spring,2016,Echo Fox,2697.7075346495085
16,LCS,Spring,2016,Renegades,2680.1319629984773
16,LCS,Spring,2016,Team Impulse,2684.584930700983
17,LCS,Spring,2016,EnVyUs,
17,LCS,Spring,2016,Golden Guardians,
17,LCS,Spring,2016,Renegades,2680.1319629984773
17,LCS,Spring,2016,Team Impulse,2684.584930700983
17,LCS,Spring,2016,Clutch Gaming,
17,LCS,Spring,2016,Counter Logic Gaming,2693.5063487476345
17,LCS,Spring,2016,Dignitas,2699.868129896114
17,LCS,Spring,2016,Immortals,2774.651128763672
17,LCS,Spring,2016,Cloud9,2702.039048321956
17,LCS,Spring,2016,Phoenix1,
17,LCS,Spring,2016,OpTic Gaming,
17,LCS,Spring,2016,Apex,
17,LCS,Spring,2016,Team SoloMid,2704.4545100358177
17,LCS,Spring,2016,Flyquest,
17,LCS,Spring,2016,NRG Esports,2720.8942683059186
17,LCS,Spring,2016,FlyQuest,
17,LCS,Spring,2016,100 Thieves,
17,LCS,Spring,2016,Echo Fox,2697.7075346495085
17,LCS,Spring,2016,Team Liquid,2642.1621375799177
18,LCS,Spring,2016,OpTic Gaming,
18,LCS,Spring,2016,Cloud9,2702.039048321956
18,LCS,Spring,2016,Team SoloMid,2704.4545100358177
18,LCS,Spring,2016,Dignitas,2699.868129896114
18,LCS,Spring,2016,100 Thieves,
